product_code,description,unit_of_measure,unit_price,case_price
LB0975CB,SUAVE 2 PLY FACIAL TISSUE CUBE BOX 75 SHEETS 36/CASE SUAVE PAPIER MOUCHOIRS 2 EPAISSEURS BOITE VERTICALE 75/BOITE 36/CS UPC Pack: 059212324060 UPC Case: 059212324077,CASE,0.97,34.91
BN101,SUAVE LUNCHEON NAPKINS 100/PK x 24/CS SUAVE SERVIETTES DE TABLE 100/PQT x 24/CS UPC Pack: 059212702202 UPC Case: 059212710924,CASE,1.34,32.16
BNLN1,SUAVE 1 PLY 1/4 FOLD LUNCHEON NAPKIN 500/PK x 12/CS (1133515) SUAVE SERVIETTE DINER 1 PLI 500/PK x 12/CS (1133515) UPC Pack: 059212991613 UPC Case: 059212991620,CASE,4.83,57.96
MPPTD,WHITE SWAN SINGLE ROLL PAPER TOWELS 70 SHEETS 30/CS WHITE SWAN ESSUIE TOUT 1 ROULEAU 70 FEUILLES 30/CS UPC Pack: 061328017026 UPC Case: 059212720732,CASE,1.35,40.50
MPPT210,WHITE SWAN 2PLY 210SHEETS JUMBO KITCHEN TOWEL 1/PK X 12/CS WHITE SWAN ESSUIE TOUT 2PLI 210 FEUILLES 1/PK X 12/CS UPC Pack: 061328011222 UPC Case:,CASE,3.62,43.44
MPTS,SUAVE PREMIUM TOILET PAPER 200 SHEETS DBL ROLL 3 PLY 4/PKx24/CS SUAVE PAPIER DE TOILETTE 198 FEUILLES 3PLY FORMAT DBL 4/PKx24/CS UPC Pack: 059212791329 UPC Case: 059212791336,CASE,2.25,54.00
MPT4,CASHMERE TOILET TISSUE 121SHEET/ROLL 4ROLL/PK X 24/CS CASHMERE PAPIER TOILETTE 121FEUILLES/ROUL. 4ROUL./PQT X 24/CS UPC Pack: 061328341053 UPC Case: 10061328341050,CASE,1.80,43.20
KWF200B,KODIAK BLUE FOOD SERVICE CLOTHS 200/BX KODIAK CHIFONS POUR SERVICE ALIMENTAIRE BLEU 200/BTE UPC Pack: 059212320321 UPC Case:,EACH,16.54,16.54
KWF200R,KODIAK PINK FOOD SERVICE CLOTHS 200/BX KODIAK CHIFFONS POUR SERVICE ALIMENTAIRE ROSE 200/BTE UPC Pack: 059212322554 UPC Case:,EACH,16.00,16.00
LB620,BELLE COSMETIC PADS 80/PK x 24/CS BELLE TAMPONS A DEMAQUILLER 80/PQT x 24/CS UPC Pack: 059212720077 UPC Case: 059212720114,CASE,0.94,22.56
LB630,BELLE COTTON BALLS 80/PK x 48/CS BELLE BOULES EN COTON 80/PQT x 48/CS UPC Pack: 059212720541 UPC Case: 059212720565,CASE,0.89,42.72
LB640,BELLE COSMETIC PADS 8CM 50/PK x 24/CS BELLE TAMPONS A DEMAQUILLER RONDS 8CM 50/PQT 24/CS UPC Pack: 059212995451 UPC Case: 059212995468,CASE,1.32,31.68
LB0300,BELLE COTTON SWABS 300/PK x 28/CS BELLE COTTON-TIGES 300/PQT x 28/CS UPC Pack: 059212720640 UPC Case: 059212720664,CASE,0.99,27.72
GKC20,iECO COMPOSTABLE KITCHEN BAGS 20/BOX x 24/CS iECO SACS DE CUISINE COMPOSTABLE 20/BOITE x 24/CS UPC Pack: 059212001398 UPC Case: 059212001381,CASE,1.93,46.32
BPGBCO,BROWN CAR ORDER BAGS DD65 400/CS SAC D EPICERIE EN PAPIER BRUN DD65 400/CS UPC Pack: UPC Case: 069199573801,CASE,0.18,72.24
BPGBC10,iECO COMPOSTABLE PAPER BAGS 10/PK x 12/CS iECO SACS EN PAPIER COMPOSTABLES 10/PK X 12/CS UPC Pack: 059212320451 UPC Case: 059212320468,CASE,3.85,46.23
BPGBC30,iECO COMPOSTABLE PAPER BAGS 30/PK x 4/CS iECO SACS EN PAPIER COMPOSTABLES 30/PK X 4/CS UPC Pack: 059212320475 UPC Case: 059212320482,CASE,10.75,43.01
GKK,KODIAK KITCHEN GARBAGE BAGS 20x22 16x36/CS GAUGE 0.6MIL KODIAK SACS A ORDURES BLANC POUR LA CUISINE 20x22 16x36/CS GAUGE 0.6MIL UPC Pack: 059212504691 UPC Case: 059212504684,CASE,1.15,41.40
GR,KODIAK REGULAR GARBAGE BAGS 26 x 36 BLACK 10/PK x 20/CS GAUGE 0.8MIL KODIAK SACS A ORDURES NOIR 26 x 36 10/PQT x 20/CS GAUGE 0.8MIL UPC Pack: 059212505377 UPC Case: 059212505384,CASE,1.32,26.40
GL4,"KODIAK LAWN & LEAF GARBAGE BAGS ORANGE 30"" x 48"" 4x36/CS GAUGE 0.9MIL KODIAK SACS A ORDURES DE JARDIN ORANGE 30"" x 48"" 4x36/CS GAUGE 0.9MIL UPC Pack: 059212505025 UPC Case: 059212505032",CASE,1.25,45.00
GLC4,"KODIAK LAWN & LEAF GARBAGE BAGS 30"" x 48"" CLEAR 4x36/CS GAUGE 0.9MIL KODIAK SACS A ORDURES DE JARDIN CLAIR 30"" x 48"" 4x36/CS GAUGE 0.9MIL UPC Pack: 059212505049 UPC Case: 059212505056",CASE,1.28,46.08
GRB,KODIAK REGULAR GARBAGE BAGS 26 x 36 BLACK 40/BOX X 10/CS GAUGE 0.8MIL KODIAK SAC A ORDURES NOIR 26 x 36 REGULIER 40/BTE x 10/CS GAUGE 0.8MIL UPC Pack: 059212506824 UPC Case: 059212506831,CASE,5.08,50.80
GGB,KODIAK HEAVY DUTY GARBAGE BAGS 30x38 BLACK 30/BOX X 10/CS KODIAK SACS A ORDURES NOIR ULTRA RESISTANT 30X38 30/BTE x 10/CS UPC Pack: 059212507005 UPC Case: 059212507005,CASE,5.19,51.90
GKR,KODIAK SCENTED KITCHEN BAGS (3 SCENTS) 25/ROLL 48/CS KODIAK SACS A ORDURE PARFUMES CUISINE (3PARF) 25/RL 48/CS UPC Pack: 059212504769 UPC Case: 059212504776,CASE,0.83,39.84
GKKD,KODIAK SHRINK SCENTED GARB BAGS 4 SCENTS 505X495MM 10/RLx48/CS KODIAK SACS A ORDURES PARFUMES (4 PARFUMS) 505X495MM 10/RL x 48/CS UPC Pack: 059212002456 UPC Case: 059212002463,CASE,0.86,41.28
GKTD,KODIAK DRAWSTRING KITCHEN BAG 610MM X 680MM 20/ROLL x 24/CS KODIAK SACS A ORDURES DE CUISINE A/CORDON 610 X 680MM 20/RL x 24/CS UPC Pack: 059212002494 UPC Case: 059212002500,CASE,2.04,48.96
GRBD,KODIAK REG BLACK DRAWSTRING GARB BAG 760x840MM 12/ROLL x 24/CS KODIAK SACS A ORDURES NOIR A/CORDON 760 X 840MM 12/RL x 24/CS UPC Pack: 059212002517 UPC Case: 059212002524,CASE,2.25,54.00
GRC8,iECO COMPOSTABLE BIN LINERS 6/BOX x 24/CS GRANDS SACS COMPOSTABLES iECO 6/BOITE x 24/CS UPC Pack: 059212310438 UPC Case: 059212310445,CASE,2.34,56.16
VPBR01L,TITAN CLEAR POUND BAG 1LB 100/PK x 24/CS TITAN SAC A LIVRE CLAIR 1LB 100/PK x 24/CS UPC Pack: 059212324824 UPC Case: 059212324831,CASE,0.70,16.82
VPBR02L,TITAN CLEAR POUND BAG 2LB 100/PK x 24/CS TITAN SAC A LIVRE CLAIR 2LB 100/PK x 24/CS UPC Pack: 059212324848 UPC Case: 059212324855,CASE,0.91,21.93
VPBR03L,TITAN CLEAR POUND BAG 3LB 100/PK x 24/CS TITAN SAC A LIVRE CLAIR 3LB 100/PK x 24/CS UPC Pack: 059212324862 UPC Case: 059212324879,CASE,1.17,28.04
VPBR05L,TITAN CLEAR POUND BAG 5LB 100/PK x 24/CS TITAN SAC A LIVRE CLAIR 5LB 100/PK x 24/CS UPC Pack: 059212324886 UPC Case: 059212324893,CASE,1.46,35.07
VPBR06L,TITAN CLEAR POUND BAG 6LB 100/PK x 24/CS TITAN SAC A LIVRE CLAIR 6LB 100/PK x 24/CS UPC Pack: 059212324909 UPC Case: 059212324916,CASE,1.56,37.51
VPBR08L,TITAN CLEAR POUND BAG 8LB 100/PK x 12/CS TITAN SAC A LIVRE CLAIR 8LB 100/PK x 12/CS UPC Pack: 059212324923 UPC Case: 059212324930,CASE,2.35,28.25
VPBR10L,TITAN CLEAR POUND BAG 10LB 100/PK x 12/CS TITAN SAC A LIVRE CLAIR 10LB 100/PK x 12/CS UPC Pack: 059212324947 UPC Case: 059212324954,CASE,2.90,34.85
VPBR11L,TITAN CLEAR POUND BAG 11LB 100/PK x 12/CS TITAN SAC A LIVRE CLAIR 11LB 100/PK x 12/CS UPC Pack: 059212324961 UPC Case: 059212324978,CASE,2.95,35.44
VPBR12L,TITAN CLEAR POUND BAG 12LB 100/PK x 12/CS TITAN SAC A LIVRE CLAIR 12LB 100/PK x 12/CS UPC Pack: 059212324985 UPC Case: 059212324992,CASE,3.38,40.60
VPBR15L,TITAN CLEAR POUND BAG 15LB 100/PK x 6/CS TITAN SAC A LIVRE CLAIR 15LB 100/PK x 6/CS UPC Pack: 059212325005 UPC Case: 059212325012,CASE,5.07,30.40
MTP150,IECO POOP-N-SCOOP BAGS 150/BOX x 24/CS(1012884/2012884) IECO SACS POOP-N-SCOOP 150/BOITE x 24/CS UPC Pack: 059212509498 UPC Case: 059212509504,CASE,1.76,42.27
MTPD1,TANGO POOP-N-SCOOP DISPENSER & 30 BAGS 24/CS TANGO DISTRIBUTEUR & 30 SACS POOP-N-SCOOP 24/CS UPC Pack: 059212930728 UPC Case: 059212930735,CASE,0.90,21.60
MTPD2,TANGO POOP-N-SCOOP DISTRIBUTOR & 30 BAGS 24/CS TANGO DISTRIBUTEUR & 30 SACS POOP-N-SCOOP 24/CS UPC Pack: 059212930742 UPC Case: 059212930759,CASE,0.95,22.80
MTPR90,TANGO POOP-N-SCOOP DISPEN REFILL 90 BAGS 24/CS TANGO RECHARGES POUR DIST 90 SACS POOP-N-SCOOP 24/CS UPC Pack: 059212930766 UPC Case: 059212930773,CASE,1.44,34.56
MTP66,iECO POOP-N-SCOOP BAGS 60/BX x 24/CS IECO SACS BIODEGRADABLES POOP-N-SCOOP 60/BX x 24/CASE UPC Pack: 059212509429 UPC Case: 059212509412,CASE,0.89,21.36
MTPP4,TANGO EXTRA LARGE TRAINING PADS - 4/BAGS - 32BAGS/CASE COUSSINETS D'ENTRAINEMENT TRES GRANDS 4/SAC X 32/CS UPC Pack: 059212509535 UPC Case: 059212509542,CASE,1.48,47.36
MTPP6,TANGO LARGE TRAINING PADS - 6/BAGS - 36BAGS/CASE (1012883/2012883) COUSSINETS D'ENTRAINEMENT GRAND 6/SAC X 36/CS UPC Pack: 059212509511 UPC Case: 059212509528,CASE,1.48,53.28
MB24C,24OZ CLEAR WIDE MOUTH SQUEEZE BOTTLES WITH LID 1/PK x 24/CS 24OZ BOUTEILLES DE CONDIMENTS CLAIRES AVEC COUVERCLE 1/PK x 24/CS UPC Pack: 059212990852 UPC Case: 059212990869,CASE,1.56,37.44
MB08C,8OZ CLEAR SQUEEZE BOTTLE WITH LID 1/PK X 36/CS 8OZ BOUTEILLES COMPRESSIBLE CLAIRES AVEC COUVERCLE 1/PK X 36/CS UPC Pack: 059212990616 UPC Case: 059212990623,CASE,0.73,26.28
MB12C,12OZ CLEAR SQUEEZE BOTTLE WITH LID 1/PK X 36/CS 12OZ BOUTEILLES COMPRESSIBLE CLAIRES AVEC COUVERCLE 1/PK X 36/CS UPC Pack: 059212990654 UPC Case: 059212990661,CASE,1.04,37.44
MB12C6,12OZ CLEAR SQUEEZE BOTTLE WITH LID 6/PK X 12/CS 12OZ BOUTEILLES COMPRESSIBLE CLAIRES AVEC COUVERCLE 6/PK X 12/CS UPC Pack: 059212990630 UPC Case: 059212990647,EACH,5.76,69.12
MB12Y,12OZ YELLOW SQUEEZE BOTTLE WITH LID 1/PK X 36/CS 12OZ BOUTEILLES COMPRESSIBLE JAUNE AVEC COUVERCLE 1/PK X 36/CS UPC Pack: 059212990692 UPC Case: 059212990708,CASE,0.93,33.48
MB16C,16OZ CLEAR WIDE MOUTH SQUEEZE BOTTLES WITH LID 1/PK X 24/CS 16OZ BOUTEILLES COMPRESSIBLES CLAIRES AVEC COUVERCLE 1/PK X 24/CS UPC Pack: 059212990739 UPC Case: 059212990746,CASE,1.32,31.68
MB16C6,16OZ CL. WIDE MOUTH SQUEEZE BOTTLES/CAP 6/PK X 6/CS (1085800) 16OZ BOUTEILLES COMPRESSIBLE CLAIRES AVEC COUVERCLE 6/PK X 6/CS (1085800) UPC Pack: 059212990715 UPC Case: 059212990722,EACH,6.19,37.14
MB24C6,24OZ CLEAR WIDE MOUTH SQUEEZE BOTTLES WITH LID 6/PK x 6/CS (1085953) 24OZ BOUTEILLES COMPRESSIBLE CLAIRES AVEC COUVERCLE 6/PK X 6/CS (1085953) UPC Pack: 059212990838 UPC Case:,EACH,7.44,44.64
MB32C,32OZ CLEAR WIDE MOUTH SQUEEZE BOTTLES WITH LID 1/PK x 24/CS 32OZ BOUTEILLES COMPRESSIBLE CLAIRES AVEC COUVERCLE 1/PK x 24/CS UPC Pack: 059212990890 UPC Case: 059212990906,CASE,1.95,46.80
MB32C6,32OZ CL. WIDE MOUTH SQUEEZE BOTTLES W/CAP 6/PK x 6/CS 32OZ BOUTEILLES COMPRESSIBLE CLAIRES AVEC COUVERCLE 6/Pk X 6/CS UPC Pack: 059212990876 UPC Case: 059212990883,EACH,10.98,65.88
FES3,KODIAK 500ML TRIGGER SPRAYER 36/CS KODIAK 500ML BOUTEILLES AVEC VAPORISATEUR 36/CA UPC Pack: 059212993372 UPC Case: 059212993389,CASE,1.25,45.00
FES6W,KODIAK 32OZ WIDE MOUTH TRIGGER SPRAY BOTTLE 6/PK (6/CS) (1133775) (423997) KODIAK GRAND COU BOUTEILLES 32OZ AVEC VAPORISATEUR 6/PQ x 6/CS (1133775) UPC Pack: 059212993358 UPC Case: 059212993365,EACH,12.80,76.80
MZYN1,N.F.S PAPER $1.00 COIN ROLLERS 36/PK X 20/CS N.F.S. ROULEAUX EN PAPIER A MONNAIE $1.00 36/PK X 20/CS UPC Pack: 724044010459 UPC Case: 059212318502,CASE,0.97,19.40
MZYN10,N.F.S PAPER $0.10 COIN ROLLERS 36/PK X 25/CS N.F.S. ROULEAUX EN PAPIER A MONNAIE $0.10 36/PK X 25/CS UPC Pack: 724044010435 UPC Case: 059212318519,CASE,0.97,24.25
MZYN2,N.F.S PAPER $2.00 COIN ROLLERS 36/PK X 20/CS N.F.S. ROULEAUX EN PAPIER A MONNAIE $2.00 36/PK X 20/CS UPC Pack: 724044010466 UPC Case: 059212318533,CASE,0.97,19.40
MZYN25,N.F.S PAPER $0.25 COIN ROLLERS 36/PK X 20/CS N.F.S. ROULEAUX EN PAPIER A MONNAIE $0.25 36/PK X 20/CS UPC Pack: 724044010541 UPC Case: 059212318526,CASE,0.97,19.40
MZYN5,N.F.S PAPER $0.05 COIN ROLLERS 36/PK X 25/CS N.F.S. ROULEAUX EN PAPIER A MONNAIE $0.05 36/PK X 25/CS UPC Pack: 724044010428 UPC Case: 059212318540,CASE,0.97,24.25
MZYNA,N.F.S PAPER ASSORTED COIN ROLLERS 36/PK X 20/CS N.F.S. ROULEAUX EN PAPIER A MONNAIE ASSORTIS 36/PK X 20/CS UPC Pack: 724044104028 UPC Case: 059212318557,CASE,0.97,19.40
VSEROLL,TITAN DOUBLE SIDED ADHESIVE TAPE 2/PK x 24/CS TITAN RUBAN ADHESIF DOUBLE FACE 2 ROULEAUX/24 CASE UPC Pack: 059212959200 UPC Case: 059212959217,CASE,0.71,17.04
VSELINT,TITAN LINT REMOVER AND REFILL 43 SHEETS 24/CS TITAN ROULEAU ENLEVE CHARPIE ET RECHANGE 43 FEUILLES / 24 CASE UPC Pack: 059212959248 UPC Case: 059212959255,CASE,1.14,27.36
KGST8,TITAN GLUE STICKS 8G X 4PK / 24CS TITAN BATONS DE COLLE 8G X 4PQT / 24CS UPC Pack: 059212959521 UPC Case: 059212959545,CASE,0.76,18.24
KGST21,TITAN PREMIUM GLUE STICK 21G 24/CS TITAN BATON DE COLLE DE QUALITE SUPERIEURE 21G 24/CS UPC Pack: 059212959552 UPC Case: 059212959576,CASE,0.83,19.92
KGSUP3,TITAN GEL SUPER GLUE 3G 24/CS x 6/MC TITAN SUPER COLLE EN GEL 3G / 24CS UPC Pack: 059212959729 UPC Case: 059212959743,CASE,0.72,17.28
KGSUPP3,TITAN SUPER GLUE PEN 3G 24/CS TITAN CRAYON SUPER DE COLLE 3G 24/CS UPC Pack: 059212985742 UPC Case: 059212985759,CASE,0.85,20.40
KGSUP1,TITAN SUPER GLUE 1G 4/PK x 24/CS x 6/MC TITAN SUPER COLLE 1G 4/PK x 24/CS x 6/MC UPC Pack: 059212959682 UPC Case: 059212959705,CASE,0.68,16.32
KGSCH100,TITAN SCHOOL GLUE 100ML 24/CS TITAN COLLE D'ECOLE 100ML 24/CS UPC Pack: 059212959439 UPC Case: 059212959453,CASE,0.98,23.52
KGCAR100,TITAN CARPENTER'S GLUE 100ML 12/CS TITAN COLLE DE MENUISIER 100ML 12/CS UPC Pack: 059212959590 UPC Case: 059212959613,CASE,0.98,11.76
KGCON30,TITAN CONTACT CEMENT 30ML 12/CS x 6/MC TITAN COLLE CONTACT 30ML 12/CS UPC Pack: 059212959767 UPC Case: 059212959781,CASE,0.78,9.36
KGMP30,TITAN TRANSPARENT MULTI-PURPOSE GLUE 30ML 12/CS TITAN COLLE TRANSPARENT UNIVERSELLE 30ML 12/CS UPC Pack: 059212959804 UPC Case: 059212959828,CASE,0.85,10.20
KGEPX3,TITAN QUICK SETTING EPOXY GLUE 3ML (NET 6ML) 12CS TITAN COLLE EPOXY A SECHAGE RAPIDE 3ML (NET 6ML) 12CS UPC Pack: 059212959842 UPC Case: 059212959866,CASE,0.96,11.52
KGEPX4,TITAN MINI SELF-MIXING EPOXY 4G - 24/CS x 6/MC TITAN MINI TUBE DE COLLE EPOXY AUTO-MELANGEANTE 24/CS UPC Pack: 059212985728 UPC Case: 059212985735,CASE,0.77,18.48
VZDISPLAY,TITAN STATIONARY TAPE DISPLAY 240/CS ASSORTED TITAN PRESENTOIR DE RUBANS ADHESIFS 240/CS ASSORTIS UPC Pack: 059212959132 UPC Case:,CASE,0.95,227.69
VZG18D,TITAN TRANSPARENT TAPE IN DISPENSER 18mm x 33m 24/CS(1029892) TITAN RUBAN ADHESIF TRANS.18mm x 33m AVEC DISTRIBUTEUR 24/CS UPC Pack: 059212959316 UPC Case: 059212957725,CASE,0.62,14.88
VZI1820,TITAN INVISIBLE TAPE IN DISPENSER 18mm x 20m 24/CS (1029890) TITAN RUBAN INVISIBLE 18mm x 20m AVEC DISTRIBUTEUR 24/CS UPC Pack: 059212942202 UPC Case: 059212942301,CASE,0.60,14.40
VZU1820,TITAN ULTRA CLEAR TAPE IN DISPENSER 18mm X 20m 24/C (1029891) TITAN RUBAN ADHESIF ULTRA CLAIR 18mmX20m AVEC DISTRIBUTEUR 24/CS UPC Pack: 059212958821 UPC Case: 059212942608,CASE,0.89,21.36
VF12B,TITAN BLACK CABLE TIES 4.8MM X 300MM 500/PK TITAN ATTACHES POUR CABLE 4.8MM X 300MM 500/PK UPC Pack: 059212993716 UPC Case: 059212993723,EACH,11.09,55.45
VF13B,PRECISION ACOUSTICS BLACK CABLE TIES 350MM 25/PK x 24/CS PRECISION ACOUSTICS ATTACHES POUR CABLE NOIR 350MM 25/PQT x 24/CS UPC Pack: 059212918573 UPC Case: 059212918696,CASE,1.03,24.72
VF13W,PRECISION ACOUSTICS WHITE CABLE TIES 350MM 25/PK x 24/CS PRECISION ACOUSTICS ATTACHES POUR CABLES BLANC 350MM 25/PQT x 24/CS UPC Pack: 059212918566 UPC Case: 059212918689,CASE,0.99,23.76
VF4B,PRECISION ACOUSTICS BLACK CABLE TIES 100MM 100/PQT x 24/CS PRECISION ACOUSTICS ATTACHES POUR CABLES NOIR 100MM 100/PQT x 24/CS UPC Pack: 059212918511 UPC Case: 059212918634,CASE,0.49,11.76
VF4W,PRECISION ACOUSTICS WHITE CABLE TIES 100MM 100/PK x 24/CS PRECISION ACOUSTICS ATTACHES POUR CABLES BLANC 100MM 100/PQT x 24/CS UPC Pack: 059212918504 UPC Case: 059212918627,CASE,0.49,11.76
VF6B,PRECISION ACOUSTICS BLACK CABLE TIES 150MM 75/PK x 24/CS PRECISION ACOUSTICS ATTACHES POUR CABLES NOIR 150MM 75/PQT x 24/CS UPC Pack: 059212918535 UPC Case: 059212918658,CASE,0.86,20.64
VF6W,PRECISION ACOUSTICS WHITE CABLE TIES 150MM 75/PK x 24/CS PRECISION ACOUSTICS ATTACHES POUR CABLES BLANC 150MM 75/PQT x 24/CS UPC Pack: 059212918528 UPC Case: 059212918641,CASE,0.86,20.64
VF8B,PRECISION ACOUSTICS BLACK CABLE TIES 200MM 50/PK x 24/CS PRECISION ACOUSTICS ATTACHES POUR CABLES NOIR 200MM 50/PK x 24/CS UPC Pack: 059212918559 UPC Case: 059212918672,CASE,1.00,24.00
VF8W,PRECISION ACOUSTICS WHITE CABLE TIES 200MM 50/PK x 24/CS PRECISION ACOUSTICS ATTACHES POUR CABLES BLANC 200MM 50/PQT x 24/CS UPC Pack: 059212918542 UPC Case: 059212918665,CASE,1.00,24.00
VFC,PRECISION ACOUSTICS CABLE TIES COMBO PACK 50/PK x 24/CS PRECISION ACOUSTICS ATTACHES POUR CABLES COMBO 50/PQT x 24/CS UPC Pack: 059212918740 UPC Case: 059212918757,CASE,0.82,19.68
VMP1850,TITAN PAINTERS MASKING TAPE 18mm X 50m 48/CS TITAN RUBAN VERT POUR PEINTRES 18mm X 50m 48/CS UPC Pack: 059212950832 UPC Case: 059212950887,CASE,0.88,42.24
VMP2440,TITAN PAINTERS MASKING TAPE 24mm X 40M 36/CS TITAN RUBAN VERT POUR PEINTRES 24mm X 40M 36/CS UPC Pack: 059212950900 UPC Case: 059212950917,CASE,0.98,35.28
VMP3625,TITAN PAINTERS MASKING TAPE 36MM X 25M 24/CS TITAN RUBAN VERT POUR PEINTRES 36mm X 25m 24/CS UPC Pack: 059212950849 UPC Case: 059212950894,CASE,0.96,23.04
VAT2B,ALUMINIUM TAPE 48mm x 5m 1/PK x 24/CS RUBAN EN ALUMINIUM 48mm x 5m 1/PQT x 24/CS UPC Pack: 059212960305 UPC Case: 059212960350,CASE,0.71,17.04
VAT2,ALUMINIUM TAPE 48mm x 50m 1/PK x 12/CS RUBAN EN ALUMINIUM 48mm x 50m 1/PQT x 12/CS UPC Pack: 059212960381 UPC Case: 059212960367,CASE,4.61,55.32
VM1850A,TITAN MASKING TAPE 18mm X 50m 48/CS TITAN RUBAN A MASQUER 18mm X 50m 48/CS UPC Pack: 059212950924 UPC Case: 059212950931,CASE,0.73,35.04
VM2440A,TITAN MASKING TAPE 24mm X 40m 48/CS TITAN RUBAN A MASQUER 24mm X 40m 48/CS UPC Pack: 059212950948 UPC Case: 059212950955,CASE,0.79,37.92
VM3625A,TITAN MASKING TAPE 36mm x 25m 1/PK x 48/CS TITAN RUBAN A MASKER 36MM X 25M 1/PQT x 48/CS UPC Pack: 059212950962 UPC Case: 059212950979,CASE,0.77,36.96
VM4820A,TITAN MASKING TAPE 48mm X 20m 36/CS TITAN RUBAN A MASQUER 48mm X 20m 36/CS UPC Pack: 059212950986 UPC Case: 059212950993,CASE,0.85,30.60
VD2105,TITAN PREMIUM SILVER DUCT TAPE 48mm x 7m 24/CS TITAN RUBAN A CONDUIT SUPERIEUR ARGENT 48mm x 7m 24/CS UPC Pack: 059212915077 UPC Case: 059212915237,CASE,1.16,27.84
VD2101C,TITAN PREMIUM BLACK DUCT TAPE 48mm x 7m 24/CS TITAN RUBAN A CONDUIT NOIR 48mm x 7m 24/CS UPC Pack: 059212915039 UPC Case: 059212915244,CASE,1.16,27.84
VD2102C,TITAN PREMIUM RED DUCT TAPE 48mm x 7m 24/CS TITAN RUBAN A CONDUIT ROUGE 48mm x 7m 24/CS UPC Pack: 059212915046 UPC Case: 059212915251,CASE,1.16,27.84
VD2103C,TITAN PREMIUM YELLOW DUCT TAPE 48mm x 7m 24/CS TITAN RUBAN A CONDUIT JAUNE 48mm x 7m 24/CS UPC Pack: 059212915053 UPC Case: 059212915268,CASE,1.16,27.84
VD2104C,TITAN PREMIUM BLUE DUCT TAPE 48mm x 7m 24/CS TITAN RUBAN A CONDUIT BLEU 48mm x 7m 24/CS UPC Pack: 059212915060 UPC Case: 059212915275,CASE,1.16,27.84
VD2107C,TITAN PREMIUM WHITE DUCT TAPE 48mm x 7m 24/CS TITAN RUBAN A CONDUIT BLANC 48mm x 7m 24/CS UPC Pack: 059212915091 UPC Case: 059212915299,CASE,1.16,27.84
VD2255,TITAN PREMIUM SILVER DUCT TAPE 48mm x 20m 15/CS TITAN RUBAN A CONDUIT ARGENT 48mm x 20m 15/CS UPC Pack: 059212915220 UPC Case: 059212915190,CASE,2.62,39.30
VD2695,TITAN PREMIUM SILVER DUCT TAPE 48mm x 50m 12/CS TITAN RUBAN A CONDUIT ARGENT 48mm x 50m 12/CS UPC Pack: 059212915213 UPC Case: 059212915183,CASE,5.90,70.80
VSC4810A,TITAN CLEAR TAPE 48mm x 100m 36/CS TITAN RUBAN ADHESIVE CLAIRE 48mm x 100m 36/CS UPC Pack: 059212989696 UPC Case: 059212952676,CASE,1.04,37.44
VSC4851B,TITAN CLEAR TAPE IND. WRAPPED 48mmx50m 36/CS TITAN RUBAN POLYPROPYLENE CLAIR EMB.IND. 48mm x 50m 36/CS UPC Pack: 059212912663 UPC Case: 059212912700,CASE,0.68,24.48
VST4851B,TITAN TAN TAPE INDIVIDUALLY WRAPPED 48mm x 50m 36/CS 45 MICRONS TITAN RUBAN POLYPROPYLENE HAVANE EMB. IND. 48mm x 50m 36/CS UPC Pack: 059212912908 UPC Case: 059212912922,CASE,0.70,25.20
VSP4840C,CAUTION TAPE 48mm X 40M 36/CS RUBAN ADHESIVE ATTENTION 48mm X 40M 36/CS UPC Pack: 059212800830 UPC Case: 059212800847,CASE,0.88,31.68
VSP4840F,FRAGILE TAPE 48mm X 40M 36/CS RUBAN ADHESIVE FRAGIL 48mm X 40M 36/CS UPC Pack: 059212800854 UPC Case: 059212800861,CASE,0.88,31.68
VE1966,TITAN BLACK P.V.C. ELECTRIC TAPE 18mm x 20m 12/CASE (1234445) TITAN RUBAN ELECTRIQUE NOIR EN PVC 18mm X 20m 12/CS (1234445) UPC Pack: 059212981010 UPC Case: 059212981249,CASE,0.59,7.08
VE18662,TITAN RED P.V.C. ELECTRICAL TAPE 18mm x 20m 12/CS TITAN RUBAN ELECTRIQUE ROUGE EN PVC 18mm X 20m 12/CS UPC Pack: 059212981027 UPC Case: 059212981140,CASE,0.59,7.08
VE18664,TITAN BLUE P.V.C. ELECTRICAL TAPE 18mm x 20m 12/CASE TITAN RUBAN ELECTRIQUE BLEU EN PVC 18mm x 20m 12/CS UPC Pack: 059212981041 UPC Case: 059212981188,CASE,0.59,7.08
VE18667,TITAN WHITE P.V.C. ELECTRICAL TAPE 18mm x 20m 12/CASE (1372195) TITAN RUBAN ELECTRIQUE BLANC EN PVC 18mm x 20m 12/CS (1372195) UPC Pack: 059212981072 UPC Case: 059212981225,CASE,0.59,7.08
PLFS610TW,LUMINUS SMART FILAMENT B11 CCT 1/PK 4/CS LUMINUS DEL INTELLIGENT FILAMENT B11 1/PK 4/CS UPC Pack: 059212892088 UPC Case: 059212892095,EACH,9.50,38.00
PLYS120TW,LUMINUS SMART A19 CCT 1/PK 4/CS LUMINUS DEL INTELLIGENT A19 1/PK 4/CS UPC Pack: 059212892002 UPC Case: 059212892019,EACH,6.99,27.96
PLYS230TW,LUMINUS SMART GU10 CCT 1/PK 4/CS LUMINUS DEL INTELLIGENTE GU10 1/PK 4/CS UPC Pack: 059212892040 UPC Case: 059212892057,EACH,7.36,29.44
